ticker
NVDA
AAPL
MSFT
AMZN
GOOGL
GOOG
AVGO
META
TSLA
BRK.B
WMT
LLY
JPM
V
ORCL
XOM
JNJ
MA
COST
PLTR
BAC
ABBV
MU
HD
NFLX
AMD
PG
GE
CVX
UNH
MS
KO
CAT
CSCO
GS
WFC
IBM
MRK
LRCX
PM
RTX
AMAT
AXP
TMO
INTC
MCD
CRM
ABT
TMUS
C
